"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","61544aa01812",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260111101237/vertx-web-kotlinx-r2dbc-postgresql/fortune/stats.txt",,,,"Date:","11 Jan 2026 10:23:17 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","64","65","66","67","68","69","70","71","73","74","75","77","78","79","80","81","82","83","84","85","86","87","88","89","90","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1768126997.418,29.637,9.626,59.310,0.056,1.370,16721035.823,54558450.585,3319296.429,0,0,0,0,0,2977153024,2018115584,3041472512,4639096832,63184.327,578062.401,2,0,11.908,42.520,34.010,16.330,3.605,22.481,4.378,3.736,2.037,2.515,5.499,3.937,6.950,4.201,3.131,2.645,1.298,4.874,0.849,1.998,1.829,2.221,1.277,2.996,4.089,2.372,2.904,0.943,3.959,22.401,7.547,2.392,2.358,1.438,1.247,1.443,5.265,1.168,0.074,0.023,0.634,0.031,0.141,1.526,0.019,1.075,0.020,0.200,0.135,0.082,0.034,0.053,0.130,0.047,0.144,0.034,0.132,0.028,0.065,0.067,0.020,0.202,0.026,0.034,0.017,77.992,66.576,42.520,34.010,16.330,2977153024,2018115584,3041472512,4639096832,2,0,11.908,67.432,47.443,5.585,0,0,1073737728,0,1728,81561,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,4.412,3383.632,14729.698,15611.261,2.786,0.035,0,0,0,0,0,0,0,0
1768126998.419,9.686,3.239,86.718,0.227,0.130,0,6553600,0,0,672,0,0,0,2952736768,2042339328,3041566720,4663734272,95001,176633,8,0,72,39.750,33.580,16.280,18,20,4,24,9,0,23,3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,339,39.750,33.580,16.280,2952736768,2042339328,3041566720,4663734272,9,0,72,0,109,0,0,0,1073737728,0,1728,81827,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7873,14266,12803,6.100,0,0,0,0,0,0,0,0,0
1768126999.419,18.399,6.527,75.041,0,0.033,0,720896,0,0,336,0,0,0,2929356800,2065719296,3041566720,4687126528,219355,416916,10,0,0,39.750,33.580,16.280,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,39.750,33.580,16.280,2929356800,2065719296,3041566720,4687126528,8,0,0,0,1,0,0,0,1073737728,0,1728,81809,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,339,12990,15958,0,0,0,0,0,0,0,0,0,0
1768127000.419,18.846,6.096,74.959,0,0.098,0,0,0,0,336,0,0,0,2916384768,2078691328,3041566720,4700098560,222995,424314,10,0,1,39.750,33.580,16.280,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,39.750,33.580,16.280,2916384768,2078691328,3041566720,4700098560,8,0,1,0,0,0,0,0,1073737728,0,1728,81784,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,28,11690,14990,0,0,0,0,0,0,0,0,0,0
1768127001.419,18.779,6.106,75.082,0,0.033,0,0,0,0,0,0,0,0,2892988416,2102083584,3041570816,4723490816,222512,423236,8,0,0,39.750,33.580,16.280,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,39.750,33.580,16.280,2892988416,2102083584,3041570816,4723490816,8,0,0,0,0,0,0,0,1073737728,0,1728,81784,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,22,13280,17874,0,0,0,0,0,0,0,0,0,0
1768127002.419,18.787,6.230,74.918,0,0.066,0,2097152,0,0,0,0,0,0,2871894016,2123169792,3041579008,4744577024,222144,422355,9,0,0,39.750,33.580,16.280,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,39.750,33.580,16.280,2871894016,2123169792,3041579008,4744577024,9,0,0,0,9,0,0,0,1073737728,0,1728,81784,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,17,15245,17816,0,0,0,0,0,0,0,0,0,0
1768127003.419,12.986,4.339,82.027,0.421,0.227,0,7176192,0,0,0,0,0,0,2870341632,2138136576,3028201472,4746391552,152491,289216,0,0,1,36.570,33.020,16.190,6,39,0,0,0,0,0,45,0,0,4,0,140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,48,36.570,33.020,16.190,2870341632,2138136576,3028201472,4746391552,0,0,1,0,122,0,0,0,1073737728,0,1728,81720,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2381,11561,19948,13.400,0,0,0,0,0,0,0,0,0
1768127004.419,0,0,99.906,0,0.094,0,0,0,0,0,0,0,0,2870341632,2138136576,3028201472,4746391552,590,567,0,0,0,36.570,33.020,16.190,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,36.570,33.020,16.190,2870341632,2138136576,3028201472,4746391552,0,0,0,0,0,0,0,0,1073737728,0,1728,81718,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,30,37,0,0,0,0,0,0,0,0,0,0
1768127005.419,0.031,0.031,99.937,0,0,0,0,0,0,0,0,0,0,2870599680,2137878528,3028201472,4746133504,604,632,0,0,0,36.570,33.020,16.190,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,36.570,33.020,16.190,2870599680,2137878528,3028201472,4746133504,0,0,0,0,0,0,0,0,1073737728,0,1728,81718,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,35,26,0,0,0,0,0,0,0,0,0,0
1768127006.419,0,0,100,0,0,0,0,0,0,0,0,0,0,2870599680,2137878528,3028201472,4746133504,461,472,0,0,0,36.570,33.020,16.190,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,36.570,33.020,16.190,2870599680,2137878528,3028201472,4746133504,0,0,0,0,0,0,0,0,1073737728,0,1728,81718,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5,32,34,0,0,0,0,0,0,0,0,0,0
1768127007.419,0.031,0.031,99.875,0.031,0.031,0,0,0,0,0,0,0,0,2870599680,2137878528,3028201472,4746166272,1220,2338,0,0,1,36.570,33.020,16.190,6,6,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,36.570,33.020,16.190,2870599680,2137878528,3028201472,4746166272,0,0,1,0,0,0,0,0,1073737728,0,1728,81718,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,99,99,101,1.400,0,0,0,0,0,0,0,0,0
1768127008.419,20.012,6.365,69.798,0,3.825,0,0,0,0,0,0,0,0,2858856448,2149556224,3028201472,4757909504,38239,166147,73,0,35,40.050,33.800,16.540,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,182,40.050,33.800,16.540,2858790912,2149621760,3028201472,4757975040,71,0,35,0,0,0,0,0,1073737728,0,2304,82807,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,29971,100100,63842,0,0,0,0,0,0,0,0,0,0
1768127009.419,61.147,19.863,14.811,0,4.178,0,950272,0,0,0,0,0,0,2853564416,2154848256,3028201472,4763205632,115376,611079,63,0,2,40.050,33.800,16.540,2,2,0,0,0,0,0,25,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,36,40.050,33.800,16.540,2853564416,2154848256,3028201472,4763205632,78,0,2,0,2,0,0,0,1073737728,0,2304,82745,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1008,149916,137351,1.200,0,0,0,0,0,0,0,0,0
1768127010.419,63.568,19.775,13.662,0,2.994,0,0,0,0,0,0,0,0,2846883840,2161528832,3028201472,4769886208,118171,647059,73,0,0,40.050,33.800,16.540,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,40.050,33.800,16.540,2846883840,2161528832,3028201472,4769886208,71,0,0,0,0,0,0,0,1073737728,0,2304,82745,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,157,16944,16770,0,0,0,0,0,0,0,0,0,0
